[DEBUG] [2020-12-13 14:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 58cf327c95f4456890e29f750567207c, msgType : 19
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_AES_128_GCM_SHA256 => AES128-GCM-SHA256
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_AES_128_GCM_SHA256 => AES128-GCM-SHA256
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_AES_128_CBC_SHA256 => AES128-SHA256
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_AES_128_CBC_SHA256 => AES128-SHA256
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_AES_128_CBC_SHA => AES128-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_AES_128_CBC_SHA => AES128-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_SEED_SHA => SEED-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_SEED_SHA => SEED-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_CAMELLIA128_SHA => CAMELLIA128-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_CAMELLIA128_SHA => CAMELLIA128-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_IDEA_CBC_SHA => IDEA-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_IDEA_CBC_SHA => IDEA-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_PSK_WITH_AES_128_CBC_SHA => PSK-AES128-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_PSK_WITH_AES_128_CBC_SHA => PSK-AES128-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDHE_RSA_WITH_RC4_128_SHA => ECDHE-RSA-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDHE_RSA_WITH_RC4_128_SHA => ECDHE-RSA-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDHE_ECDSA_WITH_RC4_128_SHA => ECDHE-ECDSA-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDHE_ECDSA_WITH_RC4_128_SHA => ECDHE-ECDSA-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_anon_WITH_RC4_128_SHA => AECDH-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_anon_WITH_RC4_128_SHA => AECDH-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_RC4_128_MD5 => ADH-RC4-MD5
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_RC4_128_MD5 => ADH-RC4-MD5
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_RSA_WITH_RC4_128_SHA => ECDH-RSA-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_RSA_WITH_RC4_128_SHA => ECDH-RSA-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_ECDSA_WITH_RC4_128_SHA => ECDH-ECDSA-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_ECDSA_WITH_RC4_128_SHA => ECDH-ECDSA-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_RC4_128_SHA => RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_RC4_128_SHA => RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_RC4_128_MD5 => RC4-MD5
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_RC4_128_MD5 => RC4-MD5
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_PSK_WITH_RC4_128_SHA => PSK-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_PSK_WITH_RC4_128_SHA => PSK-RC4-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA => ECDHE-RSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA => ECDHE-RSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA => ECDHE-ECDSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA => ECDHE-ECDSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_SRP_DSS_WITH_3DES_EDE_CBC_SHA => SRP-DSS-3DES-EDE-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_SRP_DSS_WITH_3DES_EDE_CBC_SHA => SRP-DSS-3DES-EDE-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_SRP_RSA_WITH_3DES_EDE_CBC_SHA => SRP-RSA-3DES-EDE-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_SRP_RSA_WITH_3DES_EDE_CBC_SHA => SRP-RSA-3DES-EDE-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_SRP_WITH_3DES_EDE_CBC_SHA => SRP-3DES-EDE-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_SRP_WITH_3DES_EDE_CBC_SHA => SRP-3DES-EDE-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_EDH_RSA_WITH_3DES_EDE_CBC_SHA => EDH-RSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_EDH_RSA_WITH_3DES_EDE_CBC_SHA => EDH-RSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_EDH_DSS_WITH_3DES_EDE_CBC_SHA => EDH-DSS-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_EDH_DSS_WITH_3DES_EDE_CBC_SHA => EDH-DSS-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_DH_RSA_DES_CBC3_SHA => DH-RSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_DH_RSA_DES_CBC3_SHA => DH-RSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_DH_DSS_DES_CBC3_SHA => DH-DSS-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_DH_DSS_DES_CBC3_SHA => DH-DSS-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA => AECDH-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_anon_WITH_3DES_EDE_CBC_SHA => AECDH-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_DH_anon_WITH_3DES_EDE_CBC_SHA => ADH-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_DH_anon_WITH_3DES_EDE_CBC_SHA => ADH-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA => ECDH-RSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_RSA_WITH_3DES_EDE_CBC_SHA => ECDH-RSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA => ECDH-ECDSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA => ECDH-ECDSA-DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_RSA_WITH_3DES_EDE_CBC_SHA => DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_RSA_WITH_3DES_EDE_CBC_SHA => DES-CBC3-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(330) | Cipher suite mapping: TLS_PSK_WITH_3DES_EDE_CBC_SHA => PSK-3DES-EDE-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] CipherSuiteConverter.cacheFromOpenSsl(331) | Cipher suite mapping: SSL_PSK_WITH_3DES_EDE_CBC_SHA => PSK-3DES-EDE-CBC-SHA
[DEBUG] [2020-12-13 14:38:20] OpenSsl.<clinit>(369) | Supported protocols (OpenSSL): [SSLv2Hello, TLSv1, TLSv1.1, TLSv1.2] 
[DEBUG] [2020-12-13 14:38:20] OpenSsl.<clinit>(370) | Default cipher suites (OpenSSL): [TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA]
[DEBUG] [2020-12-13 14:38:20] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@9f116cc
[DEBUG] [2020-12-13 14:38:20] ConnectionManager.startConnect(99) | startConnect to 127.0.0.1:20200
[DEBUG] [2020-12-13 14:38:20] DefaultChannelId.<clinit>(79) | -Dio.netty.processId: 27428 (auto-detected)
[DEBUG] [2020-12-13 14:38:20] DefaultChannelId.<clinit>(101) | -Dio.netty.machineId: 00:16:3e:ff:fe:0b:4f:bc (auto-detected)
[DEBUG] [2020-12-13 14:38:20] ConnectionManager.startConnect(99) | startConnect to 127.0.0.1:20201
[DEBUG] [2020-12-13 14:38:20] ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory.newResourceLeakDetector(196) | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@8aeb694
[DEBUG] [2020-12-13 14:38:20] ConnectionManager.startConnect(134) |  start connect end. 
[DEBUG] [2020-12-13 14:38:20] ConnectionManager.startReconnectSchedule(138) |  start reconnect schedule
[DEBUG] [2020-12-13 14:38:20] SslHandler.setHandshakeSuccess(1807) | [id: 0x3ee9a58f, L:/127.0.0.1:50218 - R:/127.0.0.1:20200] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2020-12-13 14:38:20] ChannelHandler.userEventTriggered(73) |  handshake success, host: 127.0.0.1, port: 20200, ctx: 1860559023
[DEBUG] [2020-12-13 14:38:20] ConnectionManager.addConnectionContext(408) | addConnectionContext, endpoint: 127.0.0.1:20200, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0x3ee9a58f, L:/127.0.0.1:50218 - R:/127.0.0.1:20200])
[DEBUG] [2020-12-13 14:38:20] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20200
[DEBUG] [2020-12-13 14:38:20] SslHandler.setHandshakeSuccess(1807) | [id: 0x4bd20f5b, L:/127.0.0.1:33986 - R:/127.0.0.1:20201] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2020-12-13 14:38:20] ChannelHandler.userEventTriggered(73) |  handshake success, host: 127.0.0.1, port: 20201, ctx: 2004654909
[DEBUG] [2020-12-13 14:38:20] ConnectionManager.addConnectionContext(408) | addConnectionContext, endpoint: 127.0.0.1:20201, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0x4bd20f5b, L:/127.0.0.1:33986 - R:/127.0.0.1:20201])
[DEBUG] [2020-12-13 14:38:20] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2020-12-13 14:38:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0b157f03eee5434c8b4eb47e0acdb98a, msgType : 18
[DEBUG] [2020-12-13 14:38:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 72f1efb54a8e4f4c92258859bd31eacf, msgType : 18
[INFO] [2020-12-13 14:38:20] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.0', supportedVersion='2.7.0', chainId='1', buildTime='20201126 08:00:45', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='0bc47666979df4766723adf1ab9c5d80f5e40537'}, content: {"id":0,"jsonrpc":"2.0","result":{"Build Time":"20201126 08:00:45","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.0","Git Branch":"HEAD","Git Commit Hash":"0bc47666979df4766723adf1ab9c5d80f5e40537","Supported Version":"2.7.0"}}

[INFO] [2020-12-13 14:38:20] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[INFO] [2020-12-13 14:38:20] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.0', supportedVersion='2.7.0', chainId='1', buildTime='20201126 08:00:45', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='0bc47666979df4766723adf1ab9c5d80f5e40537'}, content: {"id":1,"jsonrpc":"2.0","result":{"Build Time":"20201126 08:00:45","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.0","Git Branch":"HEAD","Git Commit Hash":"0bc47666979df4766723adf1ab9c5d80f5e40537","Supported Version":"2.7.0"}}

[INFO] [2020-12-13 14:38:20] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2020-12-13 14:38:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3a618baecfda4490a34b05fc3da0cecc, msgType : 20
[DEBUG] [2020-12-13 14:38:20] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 12ff756eece7428ebfd5b2dd162424f4, msgType : 20
[INFO] [2020-12-13 14:38:20] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20201, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.0, EnumProtocol=VERSION_3]
[INFO] [2020-12-13 14:38:20] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20200, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.0, EnumProtocol=VERSION_3]
[INFO] [2020-12-13 14:38:20] ChannelImp.checkConnectionsToStartPeriodTask(132) |  Connect to  nodes: 127.0.0.1:20200, 127.0.0.1:20201, java version: 1.8.0_275 ,java vendor: Private Build
[DEBUG] [2020-12-13 14:38:20] ChannelImp.start(92) | Start the channel success
[INFO] [2020-12-13 14:38:20] BcosSDK.<init>(64) | create BcosSDK, start channel success, cryptoType: 0
[DEBUG] [2020-12-13 14:38:20] ThreadPoolService.<init>(37) | Create ThreadPoolService, threadName: channelProcessor, corePoolSize: 1, maxBlockingQueueSize: 102400
[INFO] [2020-12-13 14:38:20] BcosSDK.<init>(74) | create BcosSDK, start channel succ, channelProcessorThreadSize: 1, receiptProcessorThreadSize: 1
[DEBUG] [2020-12-13 14:38:20] ThreadPoolService.<init>(37) | Create ThreadPoolService, threadName: GroupManagerServiceImpl, corePoolSize: 1, maxBlockingQueueSize: 102400
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : aef54af6559e45e0933a70929e82d16e, msgType : 19
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 12c8b3b3b54f4fe7910bd14969917ae1, msgType : 19
[INFO] [2020-12-13 14:38:21] GroupManagerServiceImpl.registerBlockNumberNotifyHandler(259) | registerBlockNumberNotifyHandler
[INFO] [2020-12-13 14:38:21] GroupManagerServiceImpl.registerTransactionNotifyHandler(281) | registerTransactionNotifyHandler
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5c0ba0dcbd43459e8ffd7a2f1fd7fbc1, msgType : 18
[DEBUG] [2020-12-13 14:38:21] GroupServiceImpl.<init>(45) | insert group: 1 for peer 127.0.0.1:20200
[DEBUG] [2020-12-13 14:38:21] GroupManagerServiceImpl.getAndUpdateBlockNumberForAllPeers(528) | g: 1, getAndUpdateBlockNumberForAllPeers, group availablePeers:[127.0.0.1:20200]
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b0978ce6cb9c45738f497b36247f4710, msgType : 18
[DEBUG] [2020-12-13 14:38:21] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 3, groupId: 1
[DEBUG] [2020-12-13 14:38:21] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 3, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2020-12-13 14:38:21] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20200, blockNumber: 3
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2bf03d5b8eaa48d9af348d12b50694ff, msgType : 18
[DEBUG] [2020-12-13 14:38:21] GroupServiceImpl.insertNode(84) | g:1, insertNode=127.0.0.1:20201, nodeSize=2, blockNumberInfoSize=1
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 087dbe7e763d4abe9562d8348fb895da, msgType : 18
[DEBUG] [2020-12-13 14:38:21] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 3, groupId: 1
[DEBUG] [2020-12-13 14:38:21] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 3, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2020-12-13 14:38:21] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20201, blockNumber: 3
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0103711f7a974770b8973cd59a876346, msgType : 18
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 25f8047fddba4636a563916ee02c3d2d, msgType : 18
[DEBUG] [2020-12-13 14:38:21] GroupManagerServiceImpl.start(445) | start GroupManagerService...
[INFO] [2020-12-13 14:38:21] BcosSDK.<init>(85) | create BcosSDK, create groupManagerService success
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 36023760e3854144b1340794857226e6, msgType : 18
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 81a4e354b35c4700b656db20998a94ae, msgType : 18
[DEBUG] [2020-12-13 14:38:21] GroupManagerServiceImpl.setAmop(806) | register blockNotify for 127.0.0.1:20200, groupList: [1]
[DEBUG] [2020-12-13 14:38:21] TopicManager.updateBlockNotify(139) | update block notify, peer: 127.0.0.1:20200, groupInfo: [1]
[DEBUG] [2020-12-13 14:38:21] TopicManager.updateBlockNotify(144) | add block notify, peer: 127.0.0.1:20200, topic: _block_notify_1
[INFO] [2020-12-13 14:38:21] AmopImp.sendSubscribe(193) | update subscribe inform 2 peers
[DEBUG] [2020-12-13 14:38:21] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2020-12-13 14:38:21] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20201, topics:[]
[DEBUG] [2020-12-13 14:38:21] GroupManagerServiceImpl.setAmop(806) | register blockNotify for 127.0.0.1:20201, groupList: [1]
[DEBUG] [2020-12-13 14:38:21] TopicManager.updateBlockNotify(139) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
[DEBUG] [2020-12-13 14:38:21] TopicManager.updateBlockNotify(144) | add block notify, peer: 127.0.0.1:20201, topic: _block_notify_1
[INFO] [2020-12-13 14:38:21] AmopImp.sendSubscribe(193) | update subscribe inform 2 peers
[DEBUG] [2020-12-13 14:38:21] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2020-12-13 14:38:21] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2020-12-13 14:38:21] AmopImp.start(165) | amop module started
[INFO] [2020-12-13 14:38:21] AmopImp.sendSubscribe(193) | update subscribe inform 2 peers
[DEBUG] [2020-12-13 14:38:21] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2020-12-13 14:38:21] AmopImp.updateSubscribeToPeer(215) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[INFO] [2020-12-13 14:38:21] BcosSDK.<init>(90) | create BcosSDK, create Amop success
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ad678e1d932b4c76abdeb3a3e4870c57, msgType : 18
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ee6aebf8e3ee4cf78570578dd12243ac, msgType : 18
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 84105829cda74dcaab9175983b192f5f, msgType : 18
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 40278fba59e34047be71e45487af1ec8, msgType : 18
[INFO] [2020-12-13 14:38:21] CryptoSuite.<init>(52) | init CryptoSuite, cryptoType: 0
[INFO] [2020-12-13 14:38:21] Client.build(111) | build client success for group 1
[INFO] [2020-12-13 14:38:21] BcosSDK.getClient(149) | create client for group 1 success
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d6ad2d7bb62448c9b3e84370264a48ec, msgType : 18
[DEBUG] [2020-12-13 14:38:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9641149deac345249c0c3f46f2b9e98f, msgType : 18
